replicate	fa	treatment	fa_conc
S_14	C24:1	Pro	0
S_15	C08:0	Pro	0
S_15	C10:0	Pro	0
S_15	C11:0	Pro	0
S_15	C12:0	Pro	0
S_15	C13:0	Pro	0
S_15	C14:0	Pro	0
S_15	C14:1	Pro	0
S_15	C15:0	Pro	0
S_15	C15:1	Pro	0
S_15	C16:0	Pro	45.0548448
S_15	C16:1	Pro	15.39623322
S_15	C17:1	Pro	0
S_15	C18:0	Pro	45.7591384
S_15	C18:1	Pro	13.5293939
S_15	C18:2(n-6t)	Pro	0
S_15	C18:2(n-6c)	Pro	13.33399014
S_15	C18:3(n-6)	Pro	0.323853027
S_15	C18:3(n-3)	Pro	3.217360198
S_15	C18:4(n-3)	Pro	0
S_15	C20:0	Pro	1.774727812
S_15	C20:1	Pro	6.280374672
S_15	C20:2(n-6)	Pro	4.503654345
S_15	C20:3(n-6)	Pro	0.501309099
S_15	C20:4(n-6)	Pro	9.349250197
S_15	C20:3(n-3)	Pro	0
S_15	C21:0	Pro	0
S_15	C20:5(n-3)	Pro	10.34827633
S_15	C22:0	Pro	0
S_15	C22:1	Pro	13.54638343
S_15	C22:2	Pro	0
S_15	C22:5(n-3)	Pro	2.195432387
S_15	C22:6(n-3)	Pro	0.890665816
S_15	C24:0	Pro	0
S_15	C24:1	Pro	0
S_16	C08:0	Pro	0
S_16	C10:0	Pro	0
S_16	C11:0	Pro	0
S_16	C12:0	Pro	0
S_16	C13:0	Pro	0
S_16	C14:0	Pro	0
S_16	C14:1	Pro	0
S_16	C15:0	Pro	0
S_16	C15:1	Pro	0
S_16	C16:0	Pro	45.34286964
S_16	C16:1	Pro	4.558490087
S_16	C17:1	Pro	0
S_16	C18:0	Pro	54.87812767
S_16	C18:1	Pro	4.185967702
S_16	C18:2(n-6t)	Pro	0
S_16	C18:2(n-6c)	Pro	15.43938651
S_16	C18:3(n-6)	Pro	0
S_16	C18:3(n-3)	Pro	0
S_16	C18:4(n-3)	Pro	0
S_16	C20:0	Pro	2.263581862
S_16	C20:1	Pro	4.44483159
S_16	C20:2(n-6)	Pro	5.173572549
S_16	C20:3(n-6)	Pro	0.339463585
S_16	C20:4(n-6)	Pro	13.23893145
S_16	C20:3(n-3)	Pro	0
S_16	C21:0	Pro	0
S_16	C20:5(n-3)	Pro	12.47826576
S_16	C22:0	Pro	0
