replicate	fa	treatment	fa_conc
S_16	C20:1	Pro	16.2546
S_16	C20:2(n-6)	Pro	32.32539
S_16	C20:3(n-6)	Pro	0
S_16	C20:4(n-6)	Pro	250.92332
S_16	C21:0	Pro	0
S_16	C20:5(n-3)	Pro	224.39989
S_16	C22:0	Pro	0
S_16	C22:1	Pro	14.51615
S_16	C22:2	Pro	0.01373
S_16	C22:5(n-3)	Pro	5.16055
S_16	C22:6(n-3)	Pro	2.36595
S_16	C24:0	Pro	20.00065
S_16	C24:1	Pro	0
S_17	C08:0	Pro	0.39702
S_17	C10:0	Pro	0
S_17	C11:0	Pro	#NV
S_17	C12:0	Pro	0
S_17	C13:0	Pro	103.15925
S_17	C14:0	Pro	118.35815
S_17	C14:1	Pro	0
S_17	C15:0	Pro	22.60041
S_17	C15:1	Pro	0
S_17	C16:0	Pro	2830.63538
S_17	C16:1	Pro	418.78624
S_17	C17:0	Pro	33.85534
S_17	C17:1	Pro	0
S_17	C18:0	Pro	426.20386
S_17	C18:1	Pro	675.15814
S_17	C18:2(n-6t)	Pro	0.0295
S_17	C18:2(n-6c)	Pro	346.78564
S_17	C18:3(n-6)	Pro	#NV
S_17	C18:3(n-3)	Pro	310.80526
S_17	C18:4(n-3)	Pro	16.93926
S_17	C20:0	Pro	8.51329
S_17	C20:1	Pro	15.32246
S_17	C20:2(n-6)	Pro	47.00608
S_17	C20:3(n-6)	Pro	#NV
S_17	C20:4(n-6)	Pro	356.28681
S_17	C21:0	Pro	0
S_17	C20:5(n-3)	Pro	316.17998
S_17	C22:0	Pro	0
S_17	C22:1	Pro	35.90977
S_17	C22:2	Pro	0.0556
S_17	C22:5(n-3)	Pro	8.99224
S_17	C22:6(n-3)	Pro	8.7895
S_17	C24:0	Pro	23.4952
S_17	C24:1	Pro	0
S_18	C08:0	Pro	0.48412
S_18	C10:0	Pro	0
S_18	C11:0	Pro	#NV
S_18	C12:0	Pro	3.36765
S_18	C13:0	Pro	102.34565
S_18	C14:0	Pro	75.19666
S_18	C14:1	Pro	0
S_18	C15:0	Pro	8.83516
S_18	C15:1	Pro	0
S_18	C16:0	Pro	1998.75622
S_18	C16:1	Pro	362.43944
S_18	C17:0	Pro	20.35457
S_18	C17:1	Pro	0
S_18	C18:0	Pro	270.7
S_18	C18:1	Pro	417.78035
S_18	C18:2(n-6t)	Pro	0
S_18	C18:2(n-6c)	Pro	231.19634
S_18	C18:3(n-6)	Pro	0.32545
S_18	C18:3(n-3)	Pro	145.64545
S_18	C18:4(n-3)	Pro	0.11326
S_18	C20:0	Pro	0.04819
S_18	C20:1	Pro	0
S_18	C20:2(n-6)	Pro	45.85941
S_18	C20:3(n-6)	Pro	0
S_18	C20:4(n-6)	Pro	287.10721
S_18	C21:0	Pro	0
S_18	C20:5(n-3)	Pro	238.91871
S_18	C22:0	Pro	0
S_18	C22:1	Pro	0
S_18	C22:2	Pro	0
S_18	C22:5(n-3)	Pro	7.37085
S_18	C22:6(n-3)	Pro	8.00244
S_18	C24:0	Pro	0
S_18	C24:1	Pro	0
S_19	C08:0	Pro	0
S_19	C10:0	Pro	0
S_19	C11:0	Pro	#NV
S_19	C12:0	Pro	2.51415
S_19	C13:0	Pro	157.21828
S_19	C14:0	Pro	147.35562
S_19	C14:1	Pro	2.73931
S_19	C15:0	Pro	23.28236
S_19	C15:1	Pro	0
S_19	C16:0	Pro	3035.44586
S_19	C16:1	Pro	456.25387
S_19	C17:0	Pro	34.00404
S_19	C17:1	Pro	#NV
S_19	C18:0	Pro	433.73713
S_19	C18:1	Pro	829.19792
S_19	C18:2(n-6t)	Pro	0.4942
S_19	C18:2(n-6c)	Pro	312.92564
S_19	C18:3(n-6)	Pro	0.22329
S_19	C18:3(n-3)	Pro	235.06556
S_19	C18:4(n-3)	Pro	0.99564
S_19	C20:0	Pro	0.05987
S_19	C20:1	Pro	22.68441
S_19	C20:2(n-6)	Pro	29.06493
S_19	C20:3(n-6)	Pro	0
S_19	C20:4(n-6)	Pro	224.12381
S_19	C21:0	Pro	0
S_19	C20:5(n-3)	Pro	240.03011
S_19	C22:0	Pro	0
S_19	C22:1	Pro	33.2199
S_19	C22:2	Pro	0
S_19	C22:5(n-3)	Pro	5.87361
S_19	C22:6(n-3)	Pro	3.80624
S_19	C24:0	Pro	0
S_19	C24:1	Pro	0
S_20	C08:0	Pro	0.03744
S_20	C10:0	Pro	0
S_20	C11:0	Pro	#NV
S_20	C12:0	Pro	33.44744
S_20	C13:0	Pro	193.99878
S_20	C14:0	Pro	219.70871
S_20	C14:1	Pro	0
S_20	C15:0	Pro	38.43262
S_20	C15:1	Pro	0
S_20	C16:0	Pro	3814.06849
S_20	C16:1	Pro	685.55876
S_20	C17:0	Pro	48.72615
S_20	C17:1	Pro	0
S_20	C18:0	Pro	553.96799
S_20	C18:1	Pro	906.54332
S_20	C18:2(n-6t)	Pro	3.11568
S_20	C18:2(n-6c)	Pro	552.65823
S_20	C18:3(n-6)	Pro	0
S_20	C18:3(n-3)	Pro	538.02586
S_20	C18:4(n-3)	Pro	32.15572
S_20	C20:0	Pro	0.19078
S_20	C20:1	Pro	31.34791
S_20	C20:2(n-6)	Pro	76.29054
S_20	C20:3(n-6)	Pro	0.8746
S_20	C20:4(n-6)	Pro	518.08746
S_20	C21:0	Pro	0
