replicate	fa	week	treatment	fa_rel
B_10	C17:1	3	Cip	0.143812052
B_10	C18:0	3	Cip	1.8869882
B_10	C18:1	3	Cip	13.28481693
B_10	C18:2(n-6t)	3	Cip	0
B_10	C18:2(n-6c)	3	Cip	13.08092705
B_10	C18:3(n-6)	3	Cip	1.080280861
B_10	C18:3(n-3)	3	Cip	22.76123713
B_10	C18:4(n-3)	3	Cip	2.207476819
B_10	C20:0	3	Cip	0.186488386
B_10	C20:1	3	Cip	0.203528001
B_10	C20:2(n-6)	3	Cip	0.134439244
B_10	C20:3(n-6)	3	Cip	0.028817022
B_10	C20:4(n-6)	3	Cip	0.770776609
B_10	C20:3(n-3)	3	Cip	#NV
B_10	C21:0	3	Cip	0
B_10	C20:5(n-3)	3	Cip	2.01620886
B_10	C22:0	3	Cip	0.010891108
B_10	C22:1	3	Cip	0
B_10	C22:2	3	Cip	3.19992E-05
B_10	C22:5(n-3)	3	Cip	0.005460886
B_10	C22:6(n-3)	3	Cip	0.1167805
B_10	C24:0	3	Cip	0.746697945
B_10	C24:1	3	Cip	0
B_11	C08:0	3	Pro	0.002082074
B_11	C10:0	3	Pro	0.024553812
B_11	C11:0	3	Pro	0
B_11	C12:0	3	Pro	0.128834785
B_11	C13:0	3	Pro	0.79740461
B_11	C14:0	3	Pro	2.411450099
B_11	C14:1	3	Pro	0
B_11	C15:0	3	Pro	0.153526182
B_11	C15:1	3	Pro	0
B_11	C16:0	3	Pro	38.37193521
B_11	C16:1	3	Pro	7.588101809
B_11	C17:0	3	Pro	0.122917282
B_11	C17:1	3	Pro	0
B_11	C18:0	3	Pro	1.215781874
B_11	C18:1	3	Pro	16.16136402
B_11	C18:2(n-6t)	3	Pro	0
B_11	C18:2(n-6c)	3	Pro	0
B_11	C18:3(n-6)	3	Pro	1.236202251
B_11	C18:3(n-3)	3	Pro	25.00689333
B_11	C18:4(n-3)	3	Pro	2.308346909
B_11	C20:0	3	Pro	0.13082013
B_11	C20:1	3	Pro	0.235338804
B_11	C20:2(n-6)	3	Pro	0.146664676
B_11	C20:3(n-6)	3	Pro	0.030549632
B_11	C20:4(n-6)	3	Pro	0.870978004
B_11	C20:3(n-3)	3	Pro	0.021681821
B_11	C21:0	3	Pro	0
B_11	C20:5(n-3)	3	Pro	1.923273455
B_11	C22:0	3	Pro	0.072918372
B_11	C22:1	3	Pro	0.094102
B_11	C22:2	3	Pro	6.01546E-05
B_11	C22:5(n-3)	3	Pro	0.005072154
B_11	C22:6(n-3)	3	Pro	0.113199605
B_11	C24:0	3	Pro	0.825946944
B_11	C24:1	3	Pro	0
B_12	C08:0	3	Mix	0.001696216
B_12	C10:0	3	Mix	0
B_12	C11:0	3	Mix	#NV
B_12	C12:0	3	Mix	0.076809734
B_12	C13:0	3	Mix	0.571674854
B_12	C14:0	3	Mix	1.247870754
B_12	C14:1	3	Mix	0
B_12	C15:0	3	Mix	0.099514076
B_12	C15:1	3	Mix	0.019753741
B_12	C16:0	3	Mix	34.57896149
B_12	C16:1	3	Mix	3.671030652
B_12	C17:0	3	Mix	0.18455139
B_12	C17:1	3	Mix	0.195908799
B_12	C18:0	3	Mix	2.059886593
B_12	C18:1	3	Mix	13.40458818
B_12	C18:2(n-6t)	3	Mix	0.018828987
B_12	C18:2(n-6c)	3	Mix	12.62928289
B_12	C18:3(n-6)	3	Mix	0
B_12	C18:3(n-3)	3	Mix	25.45552932
B_12	C18:4(n-3)	3	Mix	2.379159722
B_12	C20:0	3	Mix	0.143190561
B_12	C20:1	3	Mix	0.222878363
B_12	C20:2(n-6)	3	Mix	0.058812282
B_12	C20:3(n-6)	3	Mix	0
B_12	C20:4(n-6)	3	Mix	0.383320178
B_12	C20:3(n-3)	3	Mix	0.021469545
B_12	C21:0	3	Mix	0
B_12	C20:5(n-3)	3	Mix	1.339144787
B_12	C22:0	3	Mix	0.043997435
B_12	C22:1	3	Mix	0.296815071
B_12	C22:2	3	Mix	4.61518E-05
B_12	C22:5(n-3)	3	Mix	0.000846089
B_12	C22:6(n-3)	3	Mix	0.069103551
B_12	C24:0	3	Mix	0.825328591
B_12	C24:1	3	Mix	0
