date	day	time_of_day	temperature_colonisation	light_intensity_colonisation
20230303	35	3	16.427	0
20230303	35	4	16.046	0
20230303	35	5	15.760	0
20230303	35	6	16.237	10677.8
20230303	35	7	16.618	11022.3
20230303	35	8	16.999	16533.4
20230303	35	9	17.284	11022.3
20230303	35	10	17.665	14044.6
20230303	35	11	17.950	19289.0
20230303	35	12	18.236	17222.3
20230303	35	13	19.567	13089.0
20230303	35	14	19.948	13089.0
20230303	35	15	21.951	13777.9
20230303	35	16	21.473	13777.9
20230303	35	17	21.378	12400.1
20230303	35	18	21.282	12400.1
20230303	35	19	21.187	11022.3
20230303	35	20	21.187	17222.3
20230303	35	21	21.187	12400.1
20230303	35	22	20.615	0
20230303	35	23	19.853	0
20230304	36	0	19.092	0
20230304	36	1	18.426	0
20230304	36	2	17.760	0
20230304	36	3	17.189	0
20230304	36	4	16.713	0
20230304	36	5	16.332	0
20230304	36	6	16.618	13777.9
20230304	36	7	17.189	10677.8
20230304	36	8	17.570	10677.8
20230304	36	9	17.855	13089.0
20230304	36	10	18.236	17222.3
20230304	36	11	18.521	12400.1
20230304	36	12	18.806	12400.1
20230304	36	13	19.187	14466.8
20230304	36	14	19.472	14466.8
