fa	replicate	treatment	fa_rel
C22:1	S_17	Pro	0.586352334
C22:2	S_17	Pro	0.000907818
C22:5(n-3)	S_17	Pro	0.146829781
C22:6(n-3)	S_17	Pro	0.143519279
C24:0	S_17	Pro	0.383641229
C08:0	S_18	Pro	0.011458779
C12:0	S_18	Pro	0.079710564
C13:0	S_18	Pro	2.42246992
C14:0	S_18	Pro	1.779866902
C15:0	S_18	Pro	0.209123819
C16:0	S_18	Pro	47.30955133
C16:1	S_18	Pro	8.57875863
C17:0	S_18	Pro	0.481782414
C18:0	S_18	Pro	6.407332477
C18:1	S_18	Pro	9.888650167
C18:2(n-6t)	S_18	Pro	0
C18:2(n-6c)	S_18	Pro	5.472300802
C18:3(n-6)	S_18	Pro	0.007703169
C18:3(n-3)	S_18	Pro	3.447354278
C18:4(n-3)	S_18	Pro	0.002680752
C20:0	S_18	Pro	0.001140639
C20:1	S_18	Pro	0
C20:2(n-6)	S_18	Pro	1.08546912
C20:4(n-6)	S_18	Pro	6.795682907
C20:5(n-3)	S_18	Pro	5.655085291
C22:1	S_18	Pro	0
C22:2	S_18	Pro	0
C22:5(n-3)	S_18	Pro	0.174464392
C22:6(n-3)	S_18	Pro	0.189413643
C24:0	S_18	Pro	0
C08:0	S_19	Pro	0
C12:0	S_19	Pro	0.040371304
C13:0	S_19	Pro	2.524550031
C14:0	S_19	Pro	2.366179296
C15:0	S_19	Pro	0.373859045
C16:0	S_19	Pro	48.74200875
C16:1	S_19	Pro	7.326347092
C17:0	S_19	Pro	0.546023615
C18:0	S_19	Pro	6.964782137
C18:1	S_19	Pro	13.31493761
C18:2(n-6t)	S_19	Pro	0.0079357
C18:2(n-6c)	S_19	Pro	5.024838219
C18:3(n-6)	S_19	Pro	0.003585495
C18:3(n-3)	S_19	Pro	3.774591332
C18:4(n-3)	S_19	Pro	0.015987546
C20:0	S_19	Pro	0.000961318
C20:1	S_19	Pro	0.364257421
C20:2(n-6)	S_19	Pro	0.466713365
C20:4(n-6)	S_19	Pro	3.598893018
C20:5(n-3)	S_19	Pro	3.854310153
C22:1	S_19	Pro	0.533432291
C22:2	S_19	Pro	0
C22:5(n-3)	S_19	Pro	0.094316132
C22:6(n-3)	S_19	Pro	0.061119133
C24:0	S_19	Pro	0
C08:0	S_20	Pro	0.000429007
C12:0	S_20	Pro	0.383265144
C13:0	S_20	Pro	2.22297928
C14:0	S_20	Pro	2.517582371
C15:0	S_20	Pro	0.440388929
C16:0	S_20	Pro	43.70437346
C16:1	S_20	Pro	7.855631418
C17:0	S_20	Pro	0.558339706
C18:0	S_20	Pro	6.347768469
C18:1	S_20	Pro	10.38783334
C18:2(n-6t)	S_20	Pro	0.035701725
C18:2(n-6c)	S_20	Pro	6.332760372
C18:3(n-6)	S_20	Pro	0
C18:3(n-3)	S_20	Pro	6.165091985
C18:4(n-3)	S_20	Pro	0.368463612
C20:0	S_20	Pro	0.002186146
C20:1	S_20	Pro	0.359207125
C20:2(n-6)	S_20	Pro	0.874192534
C20:4(n-6)	S_20	Pro	5.936623324
C20:5(n-3)	S_20	Pro	4.821108615
C22:1	S_20	Pro	0.324298686
C22:2	S_20	Pro	0.000668856
C22:5(n-3)	S_20	Pro	0.174992244
