"RUNINFO"	"Name"	"Run"	"Treatment"	"Replicate"	"FA_mass"	"µg_FA_per_mg"
"180"	"Algae_18"	"24:0"	"R2"	"C"	1	0.467850647907866	0.0328316244145871
"181"	"Algae_2"	"15:0"	"R3"	"C"	3	0.346824770764257	0.0265969916230259
"182"	"Algae_2"	"16:0"	"R3"	"C"	3	32.8714372115411	2.52081573708137
"183"	"Algae_2"	"16:1n-7"	"R3"	"C"	3	5.50233194219086	0.421957971026907
"184"	"Algae_2"	"17:0"	"R3"	"C"	3	5.22478065557562	0.40067336315764
"185"	"Algae_2"	"18:0"	"R3"	"C"	3	2.1494370060124	0.164834126227944
"186"	"Algae_2"	"18:1n-7"	"R3"	"C"	3	9.94292986482996	0.76249462153604
"187"	"Algae_2"	"18:1n-9c"	"R3"	"C"	3	10.3955645218571	0.797205868240575
"188"	"Algae_2"	"18:2n-6c"	"R3"	"C"	3	16.6762413967373	1.27885286784795
"189"	"Algae_2"	"18:3n-3"	"R3"	"C"	3	59.5258341035426	4.56486457849253
"190"	"Algae_2"	"18:3n-6"	"R3"	"C"	3	2.45921483564246	0.188590094757858
"191"	"Algae_2"	"20:0"	"R3"	"C"	3	0.0465774159032231	0.0035718877226398
"192"	"Algae_2"	"20:1n-9"	"R3"	"C"	3	0.0974694135411671	0.00747464827769686
"193"	"Algae_2"	"20:2n-6"	"R3"	"C"	3	0.110616736293963	0.00848287855015054
"194"	"Algae_2"	"20:3n-3"	"R3"	"C"	3	0.0789156747105203	0.0060518155452853
"195"	"Algae_2"	"20:4n-6"	"R3"	"C"	3	0.395783998990914	0.0303515336649474
"196"	"Algae_2"	"20:5n-3"	"R3"	"C"	3	2.85687102798252	0.219085201532402
"197"	"Algae_2"	"22:0"	"R3"	"C"	3	0.383932699036503	0.0294426916439036
"198"	"Algae_2"	"22:6n-3"	"R3"	"C"	3	0.430467798726506	0.0330113342581677
"199"	"Algae_2"	"23:0"	"R3"	"C"	3	0.0524999395353468	0.00402606898277199
"200"	"Algae_2"	"24:0"	"R3"	"C"	3	0.510635173377172	0.0391591390626665
"201"	"Algae_3"	"15:0"	"R3"	"T"	3	0.277609152161414	0.0316544073160107
"202"	"Algae_3"	"16:0"	"R3"	"T"	3	34.6583377507354	3.95191992596755
"203"	"Algae_3"	"16:1n-7"	"R3"	"T"	3	15.235559689825	1.73723599655929
