Oldname	RUNINFO	Name	Week	FA	Treatment	FA_conc_rel
W2Mix	S_8	C17:1	2	MUFA	Mix	0.158966096
W2Mix	S_8	C18:0	2	SAFA	Mix	1.443267637
W2Mix	S_8	C18:1	2	MUFA	Mix	16.58750327
W2Mix	S_8	C18:2(n-6t)	2	PUFA	Mix	9.0216E-05
W2Mix	S_8	C18:2(n-6c)	2	PUFA	Mix	11.77973903
W2Mix	S_8	C18:3(n-6)	2	PUFA	Mix	0
W2Mix	S_8	C18:3(n-3)	2	PUFA	Mix	20.35256885
W2Mix	S_8	C18:4(n-3)	2	PUFA	Mix	1.342105229
W2Mix	S_8	C20:0	2	SAFA	Mix	0.126685397
W2Mix	S_8	C20:1	2	MUFA	Mix	0.243787716
W2Mix	S_8	C20:2(n-6)	2	PUFA	Mix	0.055283928
W2Mix	S_8	C20:3(n-6)	2	PUFA	Mix	0.040285894
W2Mix	S_8	C20:4(n-6)	2	PUFA	Mix	0.853504404
W2Mix	S_8	C20:3(n-3)	2	PUFA	Mix	0
W2Mix	S_8	C21:0	2	SAFA	Mix	0
W2Mix	S_8	C20:5(n-3)	2	PUFA	Mix	1.833306147
W2Mix	S_8	C22:0	2	SAFA	Mix	0
W2Mix	S_8	C22:1	2	MUFA	Mix	0
W2Mix	S_8	C22:2	2	PUFA	Mix	9.91469E-05
W2Mix	S_8	C22:5(n-3)	2	PUFA	Mix	0.035555939
W2Mix	S_8	C22:6(n-3)	2	PUFA	Mix	0.089479332
W2Mix	S_8	C24:0	2	SAFA	Mix	0.331013662
W2Mix	S_8	C24:1	2	MUFA	Mix	0
W3NC	S_9	C08:0	3	SAFA	NC	0.000784786
W3NC	S_9	C10:0	3	SAFA	NC	0.021174229
W3NC	S_9	C11:0	3	SAFA	NC	0.000947539
W3NC	S_9	C12:0	3	SAFA	NC	0.112783038
W3NC	S_9	C13:0	3	SAFA	NC	0.816860601
W3NC	S_9	C14:0	3	SAFA	NC	1.866042489
W3NC	S_9	C14:1	3	MUFA	NC	0
W3NC	S_9	C15:0	3	SAFA	NC	0.110883146
W3NC	S_9	C15:1	3	MUFA	NC	0
W3NC	S_9	C16:0	3	SAFA	NC	34.17219116
W3NC	S_9	C16:1	3	MUFA	NC	0.95320315
W3NC	S_9	C17:0	3	SAFA	NC	0.150308928
W3NC	S_9	C17:1	3	MUFA	NC	0.128619313
W3NC	S_9	C18:0	3	SAFA	NC	1.767192197
W3NC	S_9	C18:1	3	MUFA	NC	13.74974791
W3NC	S_9	C18:2(n-6t)	3	PUFA	NC	0
W3NC	S_9	C18:2(n-6c)	3	PUFA	NC	14.69691976
W3NC	S_9	C18:3(n-6)	3	PUFA	NC	0
W3NC	S_9	C18:3(n-3)	3	PUFA	NC	24.65785459
W3NC	S_9	C18:4(n-3)	3	PUFA	NC	2.262684934
W3NC	S_9	C20:0	3	SAFA	NC	0.134903638
W3NC	S_9	C20:1	3	MUFA	NC	0.231069186
W3NC	S_9	C20:2(n-6)	3	PUFA	NC	0.110778702
W3NC	S_9	C20:3(n-6)	3	PUFA	NC	0
W3NC	S_9	C20:4(n-6)	3	PUFA	NC	1.03479498
W3NC	S_9	C20:3(n-3)	3	PUFA	NC	0
W3NC	S_9	C21:0	3	SAFA	NC	0
W3NC	S_9	C20:5(n-3)	3	PUFA	NC	2.153477887
W3NC	S_9	C22:0	3	SAFA	NC	0.044221526
W3NC	S_9	C22:1	3	MUFA	NC	0
W3NC	S_9	C22:2	3	PUFA	NC	5.79729E-05
W3NC	S_9	C22:5(n-3)	3	PUFA	NC	0.010216572
W3NC	S_9	C22:6(n-3)	3	PUFA	NC	0.170947401
W3NC	S_9	C24:0	3	SAFA	NC	0.641334377
W3NC	S_9	C24:1	3	MUFA	NC	0
W3Cip	S_10	C08:0	3	SAFA	Cip	0.00122045
W3Cip	S_10	C10:0	3	SAFA	Cip	0.028285254
W3Cip	S_10	C11:0	3	SAFA	Cip	#NV
W3Cip	S_10	C12:0	3	SAFA	Cip	0.097658124
W3Cip	S_10	C13:0	3	SAFA	Cip	0.800470467
W3Cip	S_10	C14:0	3	SAFA	Cip	2.106275051
W3Cip	S_10	C14:1	3	MUFA	Cip	0
W3Cip	S_10	C15:0	3	SAFA	Cip	0.108876147
W3Cip	S_10	C15:1	3	MUFA	Cip	0
W3Cip	S_10	C16:0	3	SAFA	Cip	31.56649948
W3Cip	S_10	C16:1	3	MUFA	Cip	6.512771328
W3Cip	S_10	C17:0	3	SAFA	Cip	0.112284087
W3Cip	S_10	C17:1	3	MUFA	Cip	0.143812052
W3Cip	S_10	C18:0	3	SAFA	Cip	1.8869882
W3Cip	S_10	C18:1	3	MUFA	Cip	13.28481693
W3Cip	S_10	C18:2(n-6t)	3	PUFA	Cip	0
W3Cip	S_10	C18:2(n-6c)	3	PUFA	Cip	13.08092705
W3Cip	S_10	C18:3(n-6)	3	PUFA	Cip	1.080280861
W3Cip	S_10	C18:3(n-3)	3	PUFA	Cip	22.76123713
W3Cip	S_10	C18:4(n-3)	3	PUFA	Cip	2.207476819
W3Cip	S_10	C20:0	3	SAFA	Cip	0.186488386
W3Cip	S_10	C20:1	3	MUFA	Cip	0.203528001
W3Cip	S_10	C20:2(n-6)	3	PUFA	Cip	0.134439244
W3Cip	S_10	C20:3(n-6)	3	PUFA	Cip	0.028817022
W3Cip	S_10	C20:4(n-6)	3	PUFA	Cip	0.770776609
W3Cip	S_10	C20:3(n-3)	3	PUFA	Cip	#NV
W3Cip	S_10	C21:0	3	SAFA	Cip	0
W3Cip	S_10	C20:5(n-3)	3	PUFA	Cip	2.01620886
W3Cip	S_10	C22:0	3	SAFA	Cip	0.010891108
W3Cip	S_10	C22:1	3	MUFA	Cip	0
W3Cip	S_10	C22:2	3	PUFA	Cip	3.19992E-05
W3Cip	S_10	C22:5(n-3)	3	PUFA	Cip	0.005460886
W3Cip	S_10	C22:6(n-3)	3	PUFA	Cip	0.1167805
W3Cip	S_10	C24:0	3	SAFA	Cip	0.746697945
W3Cip	S_10	C24:1	3	MUFA	Cip	0
W3Pro	S_11	C08:0	3	SAFA	Pro	0.002082074
W3Pro	S_11	C10:0	3	SAFA	Pro	0.024553812
W3Pro	S_11	C11:0	3	SAFA	Pro	0
W3Pro	S_11	C12:0	3	SAFA	Pro	0.128834785
W3Pro	S_11	C13:0	3	SAFA	Pro	0.79740461
W3Pro	S_11	C14:0	3	SAFA	Pro	2.411450099
W3Pro	S_11	C14:1	3	MUFA	Pro	0
W3Pro	S_11	C15:0	3	SAFA	Pro	0.153526182
W3Pro	S_11	C15:1	3	MUFA	Pro	0
W3Pro	S_11	C16:0	3	SAFA	Pro	38.37193521
W3Pro	S_11	C16:1	3	MUFA	Pro	7.588101809
W3Pro	S_11	C17:0	3	SAFA	Pro	0.122917282
W3Pro	S_11	C17:1	3	MUFA	Pro	0
